timestamp,open,high,low,close,volume
2022-09-16,158.4600,160.9700,141.3500,144.2900,42669492
2022-09-09,152.3900,159.7500,150.4600,157.5200,21188510
2022-09-02,162.2800,169.9200,150.8200,151.8200,28001275
2022-08-26,159.4000,171.3700,157.9100,164.5300,22855615
2022-08-19,169.2900,173.8500,162.5800,162.9200,26668468
2022-08-12,166.4100,171.7599,163.4500,169.9900,33900153
2022-08-05,165.9500,171.7600,162.3300,165.0400,45653645
2022-07-29,156.9400,162.7400,152.8000,159.3100,42646987
2022-07-22,153.3050,163.3399,147.2000,158.1600,52439033
2022-07-15,137.7700,149.7359,134.8900,147.7400,51183943
2022-07-08,136.2500,142.2750,131.2900,139.0700,30011899
2022-07-01,140.2800,147.1800,131.6000,139.8400,44171165
2022-06-24,139.1700,141.8700,130.0917,141.5300,42610718
2022-06-17,123.0000,138.9800,113.0200,136.8000,95912274
2022-06-10,139.9900,142.2063,126.8500,127.0000,31420442
2022-06-03,131.0300,140.7000,127.0100,139.2500,40814051
2022-05-27,121.7000,132.2300,117.2900,132.2300,41737205
2022-05-20,127.0500,132.8300,117.0800,120.7000,59251403
2022-05-13,146.0000,146.9500,120.2800,127.2000,72546465
2022-05-06,148.0200,157.9900,143.3821,148.9000,47678828
2022-04-29,174.5100,176.0800,146.0000,148.8400,80281133
2022-04-22,181.4500,189.8500,176.5000,176.9200,33078200
2022-04-14,173.8400,185.5400,173.4000,181.9400,24670706
2022-04-08,190.0200,192.3500,173.8700,175.2000,39332846
2022-04-01,188.4300,197.5799,184.4700,190.7600,36612218
2022-03-25,184.4000,192.8629,180.6100,188.9500,63051051
2022-03-18,175.8800,193.3800,172.5700,192.8300,49165786
2022-03-11,181.0300,184.8600,167.5800,176.2300,54362761
2022-03-04,198.5800,207.3100,178.9700,180.8400,54651244
2022-02-25,205.0000,206.9000,186.8800,201.4800,38529260
2022-02-18,213.0000,219.6800,208.6000,209.0300,35791506
2022-02-11,205.7900,223.2300,205.4200,212.3000,49900469
2022-02-04,190.7300,209.1000,190.0000,206.4500,48620725
2022-01-28,199.8500,206.2140,183.7700,190.5700,66245974
2022-01-21,224.5000,229.6700,204.5700,205.4400,37390689
2022-01-14,214.2600,226.8900,207.1300,225.9600,51097085
2022-01-07,204.0000,218.9300,203.3400,215.5000,48722472
2021-12-31,201.9900,208.9373,199.1000,201.3200,37860854
2021-12-23,188.1100,205.1300,185.2600,204.2200,37899234
2021-12-17,202.5000,202.8100,187.8800,192.6300,50459320
2021-12-10,199.7700,212.6799,199.2000,205.0600,42013643
2021-12-03,201.8700,204.2800,188.0000,198.4900,69415308
2021-11-26,215.0000,215.0200,194.0000,199.2100,42721391
2021-11-19,227.3700,233.9400,213.2300,214.1300,74620774
